Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides YAL6Bproteome	Razor + unique peptides YAL6Bproteome	Unique peptides YAL6Bproteome	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 2	Fraction 3	Fraction 4	Fraction 5	Fraction 6	Fraction 7	Fraction 8	Q-value	Score	Sequence coverage YAL6Bproteome [%]	Intensity	Intensity YAL6Bproteome	MS/MS Count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
YDR268W	YDR268W	6	6	6	>YDR268W pep:known chromosome:R64-1-1:IV:1004004:1005143:1 gene:YDR268W transcript:YDR268W description:Mitochondrial tryptophanyl-tRNA synthetase	1	6	6	6	6	6	6	24.5	24.5	24.5	43.015	379	379	4				8					0	36.605	24.5	753210000	753210000	8				746	8872;22763;23306;24627;28095;29830	True;True;True;True;True;True	9278;23929;24500;25874;29540;31367	24804;24805;62466;64137;67406;77702;83126;83127	28124;28125;70653;72619;76229;87962;94269;94270	28125;70653;72619;76229;87962;94269		
YDR272W	YDR272W	12	12	12	>YDR272W pep:known chromosome:R64-1-1:IV:1009010:1009834:1 gene:YDR272W transcript:YDR272W description:Cytoplasmic glyoxalase II, catalyzes the hydrolysis of S-D-lactoylglutathione into glutathione and D-lactate	1	12	12	12	12	12	12	67.5	67.5	67.5	31.326	274	274	2.96		3	19	2					0	228.67	67.5	6597200000	6597200000	26				747	59;882;2639;9585;12197;12622;14850;17673;24936;26472;27386;28758	True;True;True;True;True;True;True;True;True;True;True;True	61;943;2789;10040;12751;13192;15498;18579;26204;27829;28796;30227	189;190;2779;8044;8045;27150;27151;34458;34459;34460;35738;35739;41534;41535;49294;68373;68374;73026;73027;73028;73029;73030;75644;79749	227;228;3323;9283;9284;31126;31127;31128;39458;39459;39460;39461;40930;40931;47319;47320;56018;77335;77336;82599;82600;82601;82602;82603;85556;90390;90391	228;3323;9283;31126;39461;40930;47320;56018;77335;82601;85556;90391		
YDR279W	YDR279W	5	5	5	>YDR279W pep:known chromosome:R64-1-1:IV:1019368:1020420:1 gene:YDR279W transcript:YDR279W description:Ribonuclease H2 subunit, required for RNase H2 activity\x3b related to human AGS2 that causes Aicardi-Goutieres syndrome	1	5	5	5	5	5	5	22.3	22.3	22.3	39.483	350	350	4.33				8			1		0	32.297	22.3	1168400000	1168400000	9				748	1603;7271;8880;17074;19599	True;True;True;True;True	1714;7604;9286;17817;20629	5172;20409;20410;24831;24832;47705;47706;54199;54200	5998;23194;23195;28151;28152;54304;54305;61479;61480	5998;23194;28152;54305;61479		
YDR280W	YDR280W	8	8	8	>YDR280W pep:known chromosome:R64-1-1:IV:1020747:1021664:1 gene:YDR280W transcript:YDR280W description:Exosome non-catalytic core component\x3b involved in 3-5 RNA processing and degradation in both the nucleus and the cytoplasm\x3b has similarity to E.	1	8	8	8	8	8	8	31.5	31.5	31.5	33.962	305	305	3.33		1	10					1	0	54.722	31.5	902590000	902590000	12				749	2099;2915;4540;4655;12233;19147;24886;29330	True;True;True;True;True;True;True;True	2233;3076;4766;4883;12787;20157;26152;30837;30838	6819;6820;8782;12932;12933;13254;34537;53082;68234;68235;81606;81607	7947;7948;10093;14769;14770;15130;39542;60243;77184;77185;92568;92569	7947;10093;14770;15130;39542;60243;77184;92569	357	296
YDR283C	YDR283C	11	11	11	>YDR283C pep:known chromosome:R64-1-1:IV:1025070:1030049:-1 gene:YDR283C transcript:YDR283C description:Protein kinase, phosphorylates the alpha-subunit of translation initiation factor eIF2 (Sui2p) in response to starvation\x3b activated by uncharged tRN	1	11	11	11	11	11	11	6.9	6.9	6.9	190.19	1659	1659	7.25							9	3	0	18.293	6.9	177030000	177030000	12				750	1324;4895;9977;11140;11939;13035;16714;23629;24477;24545;27878	True;True;True;True;True;True;True;True;True;True;True	1414;5133;10455;11648;12485;13617;17449;24839;25719;25790;29314	4166;13944;28467;31564;33626;36874;46740;65005;67053;67054;67189;77061	4869;15945;32730;36208;38467;42227;53249;73598;75842;75843;75989;87243	4869;15945;32730;36208;38467;42227;53249;73598;75842;75989;87243		
YDR284C	YDR284C	1	1	1	>YDR284C pep:known chromosome:R64-1-1:IV:1030550:1031419:-1 gene:YDR284C transcript:YDR284C description:Diacylglycerol pyrophosphate (DGPP) phosphatase, zinc-regulated vacuolar membrane-associated lipid phosphatase, dephosphorylates DGPP to phosphatidate 	1	1	1	1	1	1	1	2.8	2.8	2.8	33.514	289	289	3			1						0.0043453	1.9245	2.8	145360000	145360000	1				751	17577	True	18456	49038	55736	55736		
YDR287W	YDR287W	1	1	1	>YDR287W pep:known chromosome:R64-1-1:IV:1035995:1036873:1 gene:YDR287W transcript:YDR287W description:Inositol monophosphatase, involved in biosynthesis of inositol\x3b enzymatic activity requires magnesium ions and is inhibited by lithium and sodium ion	1	1	1	1	1	1	1	4.5	4.5	4.5	32.092	292	292	3			1						0	32.873	4.5	30098000	30098000	1				752	23204	True	24394	63632	71927	71927		
YDR288W	YDR288W	3	3	3	>YDR288W pep:known chromosome:R64-1-1:IV:1037195:1038106:1 gene:YDR288W transcript:YDR288W description:Component of the SMC5-SMC6 complex\x3b this complex plays a key role in the removal of X-shaped DNA structures that arise between sister chromatids duri	1	3	3	3	3	3	3	9.2	9.2	9.2	33.964	303	303	2	2	1	2						0	8.8168	9.2	556300000	556300000	5				753	18896;21156;23607	True;True;True	19903;22254;24817	52432;58032;58033;58034;64962	59479;65591;65592;65593;73554	59479;65593;73554		
YDR289C	YDR289C	10	10	10	>YDR289C pep:known chromosome:R64-1-1:IV:1038280:1039509:-1 gene:YDR289C transcript:YDR289C description:Protein that interacts with exonuclease Rat1p and Rai1p and plays a role in transcription termination by RNA polymerase II, has an RPR domain (carboxy-	1	10	10	10	10	10	10	30.3	30.3	30.3	46.488	409	409	5.08					11	1			0	34.573	30.3	572760000	572760000	12				754	3481;11126;15809;16090;17372;19340;20789;21331;22217;29201	True;True;True;True;True;True;True;True;True;True	3672;11634;16509;16802;18190;20356;21871;22435;23359;30701	10150;31527;44163;44926;44927;48512;53507;57115;58524;60932;81238;81239	11613;36168;50228;51121;51122;55183;60690;64604;66133;68893;92170;92171	11613;36168;50228;51121;55183;60690;64604;66133;68893;92171	358	160
YDR291W	YDR291W	4	4	4	>YDR291W pep:known chromosome:R64-1-1:IV:1039728:1042961:1 gene:YDR291W transcript:YDR291W description:Putative RecQ helicase\x3b belongs to the widely conserved RecQ family of proteins which are involved in maintaining genomic integrity\x3b similar to th	1	4	4	4	4	4	4	4.2	4.2	4.2	123.55	1077	1077	7							4		0	8.6154	4.2	87548000	87548000	4				755	1228;4698;9499;11038	True;True;True;True	1314;4927;9950;11544	3915;13342;26943;31320	4602;15221;30907;35952	4602;15221;30907;35952		
YDR292C	YDR292C	14	14	14	>YDR292C pep:known chromosome:R64-1-1:IV:1043146:1045011:-1 gene:YDR292C transcript:YDR292C description:Signal recognition particle (SRP) receptor alpha subunit\x3b contain GTPase domains\x3b involved in SRP-dependent protein targeting\x3b interacts with 	1	14	14	14	14	14	14	25.9	25.9	25.9	69.277	621	621	5.46		1	3	1	5	14	3	1	0	40.077	25.9	1286500000	1286500000	27				756	1104;3693;4904;6787;12858;13914;14195;16703;18260;19824;20632;22961;25132;25754	True;True;True;True;True;True;True;True;True;True;True;True;True;True	1177;3889;5142;7103;13437;14525;14814;17438;19229;20871;21710;24140;26410;27067	3510;3511;10642;10643;13968;19081;36424;36425;39097;39098;39803;46703;46704;46705;46706;46707;46708;50823;50824;54742;56701;56702;63033;63034;63035;63036;68977;70879	4129;4130;12140;12141;15969;21734;41728;41729;44659;44660;45417;53209;53210;53211;53212;53213;53214;57677;57678;62047;64143;64144;71276;71277;71278;71279;78027;80198	4129;12141;15969;21734;41728;44660;45417;53211;57677;62047;64144;71277;78027;80198		
YDR293C	YDR293C	24	24	24	>YDR293C pep:known chromosome:R64-1-1:IV:1045640:1049392:-1 gene:YDR293C transcript:YDR293C description:Translational repressor with a role in polar growth and wall integrity\x3b regulated by Cbk1p phosphorylation to effect bud-specific translational cont	1	24	24	24	24	24	24	26.8	26.8	26.8	139.95	1250	1250	6.57		1	1	2	2	10	25	8	0	323.31	26.8	3577200000	3577200000	50				757	308;1893;2518;3628;4188;5386;7555;10375;10536;12340;12341;13714;14644;14673;16896;21478;22159;22172;22345;24752;25007;26596;28255;28326	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	333;2016;2668;3824;4402;5642;7902;10868;11033;12898;12899;14312;15279;15310;17636;22591;23299;23313;23490;26006;26277;27959;29708;29784	1016;1017;6078;6079;6080;6081;7785;10487;11924;11925;11926;15231;21187;21188;29661;29662;29663;30024;34816;34817;34818;34819;38479;40834;40835;40836;40983;47235;58962;58963;58964;58965;58966;58967;58968;60794;60826;60827;60828;61275;61276;61277;67786;68544;73330;78221;78222;78223;78421	1345;1346;7066;7067;7068;7069;9003;11974;13613;13614;13615;17353;24107;24108;34150;34151;34152;34532;39840;39841;39842;39843;43983;46520;46521;46522;46722;53803;66630;66631;66632;66633;66634;66635;66636;68747;68781;68782;68783;69288;69289;69290;69291;76650;77529;82920;88568;88569;88570;88804	1345;7068;9003;11974;13615;17353;24107;34150;34532;39840;39843;43983;46521;46722;53803;66632;68747;68782;69289;76650;77529;82920;88569;88804		
YDR294C	YDR294C	10	10	10	>YDR294C pep:known chromosome:R64-1-1:IV:1050459:1052228:-1 gene:YDR294C transcript:YDR294C description:Dihydrosphingosine phosphate lyase, regulates intracellular levels of sphingolipid long-chain base phosphates (LCBPs), degrades phosphorylated long cha	1	10	10	10	10	10	10	29.2	29.2	29.2	65.565	589	589	5.71					6	6	2		0	26.841	29.2	866570000	866570000	14				758	155;14756;15136;15632;16192;17804;20597;22925;25978;29428	True;True;True;True;True;True;True;True;True;True	165;15398;15798;16329;16907;18751;21675;24101;27303;30943	548;41200;41201;42364;42365;43716;45202;49723;56623;62922;71508;71509;81909;81910	790;46951;46952;48259;48260;49729;51429;56493;64061;71160;80886;80887;92903;92904	790;46952;48259;49729;51429;56493;64061;71160;80886;92904		
YDR295C	YDR295C	14	14	14	>YDR295C pep:known chromosome:R64-1-1:IV:1052623:1054647:-1 gene:YDR295C transcript:YDR295C description:Subunit of a possibly tetrameric trichostatin A-sensitive class II histone deacetylase complex containing an Hda1p homodimer and an Hda2p-Hda3p heterod	1	14	14	14	14	14	14	24.2	24.2	24.2	77.058	674	674	6						14			0	57.448	24.2	470630000	470630000	14				759	42;2560;3749;7424;7682;9476;19179;19646;21665;21701;23564;26976;29093;30191	True;True;True;True;True;True;True;True;True;True;True;True;True;True	44;2710;3945;7768;8035;9927;20190;20680;22787;22823;24772;28363;30588;31735	148;7866;10776;20811;21532;26881;53160;54306;59575;59670;64839;74439;80952;84022	183;9086;12277;23680;24491;30840;60327;61591;67401;67507;73414;84168;91844;95234	183;9086;12277;23680;24491;30840;60327;61591;67401;67507;73414;84168;91844;95234		
YDR296W	YDR296W	5	5	5	>YDR296W pep:known chromosome:R64-1-1:IV:1055212:1055892:1 gene:YDR296W transcript:YDR296W description:Protein involved in homologous recombination in mitochondria\x3b required for recombination-dependent mtDNA partitioning\x3b involved in stimulation of 	1	5	5	5	5	5	5	31.9	31.9	31.9	26.894	226	226	2.43		5	1	1					0	25.48	31.9	554450000	554450000	6				760	13462;14502;15076;27415;28212	True;True;True;True;True	14054;15133;15736;28825;29665	37854;40513;40514;42224;75716;75717;78041	43302;46186;46187;48104;85651;85652;88342	43302;46186;48104;85651;88342		
YDR297W	YDR297W	8	8	8	>YDR297W pep:known chromosome:R64-1-1:IV:1056551:1057600:1 gene:YDR297W transcript:YDR297W description:Sphinganine C4-hydroxylase, catalyses the conversion of sphinganine to phytosphingosine in sphingolipid biosyntheis	1	8	8	8	8	8	8	18.9	18.9	18.9	40.734	349	349	4.65			6	9			1	4	0	21.245	18.9	1059100000	1059100000	19				761	1164;1165;1291;4682;8238;20568;26503;30237	True;True;True;True;True;True;True;True	1247;1248;1380;4910;8612;21644;27862;31783	3722;3723;3724;3725;3726;3727;4043;4044;4045;4046;13312;23014;56524;56525;56526;73111;84201;84202;84203;84204	4384;4385;4386;4387;4388;4389;4732;4733;4734;4735;15191;26104;63953;63954;63955;82685;95470;95471;95472;95473	4384;4385;4732;15191;26104;63954;82685;95472		
YDR298C	YDR298C	8	8	8	>YDR298C pep:known chromosome:R64-1-1:IV:1058176:1058814:-1 gene:YDR298C transcript:YDR298C description:Subunit 5 of the stator stalk of mitochondrial F1F0 ATP synthase, which is an evolutionarily conserved enzyme complex required for ATP synthesis\x3b ho	1	8	8	8	8	8	8	52.8	52.8	52.8	22.814	212	212	1.29	10	4							0	43.263	52.8	1412100000	1412100000	15				762	9;3629;9244;14464;14713;18620;19324;28086	True;True;True;True;True;True;True;True	10;3825;9674;15094;15352;19602;20340;29531	42;10488;25955;40408;40409;40410;40411;41079;51704;51705;53479;77685;77686;77687	48;11975;11976;29493;46066;46067;46068;46069;46823;58640;58641;60662;87942;87943;87944;87945	48;11975;29493;46066;46823;58640;60662;87944		
YDR299W	YDR299W	14	14	14	>YDR299W pep:known chromosome:R64-1-1:IV:1059627:1061231:1 gene:YDR299W transcript:YDR299W description:Essential protein that is a component of 90S preribosomes\x3b may be involved in rRNA processing\x3b multicopy suppressor of sensitivity to Brefeldin A\	1	14	14	14	14	14	14	31.5	31.5	31.5	61.202	534	534	5.64	1			2	3	17	1	1	0	136.9	31.5	3085900000	3085900000	25				763	655;759;5453;6505;7486;9434;14563;15073;15784;15892;16487;19624;23499;28658	True;True;True;True;True;True;True;True;True;True;True;True;True;True	697;815;5712;6811;7830;9881;15196;15733;16483;16595;17217;20657;24703;30124	2132;2133;2472;15418;18194;18195;20966;20967;26767;40632;42220;42221;44119;44120;44121;44360;46046;46047;54260;54261;64679;64680;79443;79444;79445	2612;2613;3002;17555;20661;20662;23863;23864;30714;46312;48100;48101;50183;50184;50185;50440;52382;52383;61541;61542;73246;73247;89986;89987;89988	2613;3002;17555;20661;23864;30714;46312;48101;50184;50440;52383;61542;73246;89987		
YDR300C	YDR300C	8	8	8	>YDR300C pep:known chromosome:R64-1-1:IV:1061505:1062791:-1 gene:YDR300C transcript:YDR300C description:Gamma-glutamyl kinase, catalyzes the first step in proline biosynthesis	1	8	8	8	8	8	8	32.5	32.5	32.5	47.162	428	428	4.5	1	1	1	9	7	1		2	0	136.09	32.5	3758600000	3758600000	21				764	1022;1474;8015;8668;13272;16754;17918;19142	True;True;True;True;True;True;True;True	1092;1580;8380;9059;13862;17489;18872;20152	3259;3260;3261;3262;3263;3264;4754;4755;4756;4757;22441;22442;22443;24212;24213;37458;37459;37460;46837;50031;53068;53069	3858;3859;3860;3861;3862;3863;5535;5536;5537;5538;25493;25494;25495;27420;27421;42863;42864;42865;53351;56821;60229;60230	3863;5537;25493;27421;42864;53351;56821;60229		
YDR301W	YDR301W	11	11	11	>YDR301W pep:known chromosome:R64-1-1:IV:1063352:1067425:1 gene:YDR301W transcript:YDR301W description:RNA-binding subunit of the mRNA cleavage and polyadenylation factor\x3b involved in poly(A) site recognition and required for both pre-mRNA cleavage and	1	11	11	11	11	11	11	10.4	10.4	10.4	153.4	1357	1357	7.2							12	3	0	49.777	10.4	415820000	415820000	15				765	2190;6938;6994;12124;12488;17099;22375;23777;24097;24272;27760	True;True;True;True;True;True;True;True;True;True;True	2329;7257;7315;12678;13050;17843;23521;24993;25327;25508;29191	7054;7055;19467;19650;34270;35283;47767;47768;61354;61355;65364;66109;66546;66547;76706	8212;8213;22157;22360;39238;40378;54369;54370;69379;69380;73975;74783;75284;75285;86755	8212;22157;22360;39238;40378;54370;69379;73975;74783;75284;86755		
YDR302W	YDR302W	1	1	1	>YDR302W pep:known chromosome:R64-1-1:IV:1067731:1068390:1 gene:YDR302W transcript:YDR302W description:ER membrane protein involved in a late step of glycosylphosphatidylinositol (GPI) anchor assembly\x3b involved in the addition of phosphoethanolamine to	1	1	1	1	1	1	1	5.9	5.9	5.9	25.262	219	219	5.67					1	2			0.0020722	2.2227	5.9	48231000	48231000	3				766	19466	True	20487	53808;53809;53810	61031;61032;61033	61031		
YDR303C	YDR303C	12	12	12	>YDR303C pep:known chromosome:R64-1-1:IV:1068729:1071386:-1 gene:YDR303C transcript:YDR303C description:Component of the RSC chromatin remodeling complex\x3b essential gene required for maintenance of proper ploidy and regulation of ribosomal protein gene	1	12	12	12	12	12	12	14.1	14.1	14.1	101.72	885	885	6.45				1		10	7	2	0	26.54	14.1	747280000	747280000	18				767	3111;3539;7438;8991;12063;13092;13441;14955;15684;19501;25237;27459	True;True;True;True;True;True;True;True;True;True;True;True	3279;3730;7782;9404;12616;13676;14033;15611;16382;20526;26522;28873	9277;9278;10254;20851;25228;25229;34069;36978;37790;37791;41889;43807;43808;53911;53912;53913;69307;69308;69309;75832	10648;10649;11722;23735;28666;28667;38974;42336;43218;43219;47726;49825;49826;61141;61142;61143;78381;78382;78383;85772	10648;11722;23735;28667;38974;42336;43218;47726;49825;61141;78382;85772		
YDR304C	YDR304C	7	7	7	>YDR304C pep:known chromosome:R64-1-1:IV:1071880:1072557:-1 gene:YDR304C transcript:YDR304C description:Peptidyl-prolyl cis-trans isomerase (cyclophilin) of the endoplasmic reticulum, catalyzes the cis-trans isomerization of peptide bonds N-terminal to pr	1	7	7	7	7	7	7	47.6	47.6	47.6	25.326	225	225	2.05	2	17	3						0	323.31	47.6	7371400000	7371400000	26				768	6293;9515;10175;19417;23325;25288;29043	True;True;True;True;True;True;True	6592;9967;10659;10660;20436;24521;26575;26576;30535	17637;26979;26980;26981;28959;28960;28961;28962;28963;53687;53688;64182;64183;64184;69418;69419;69420;69421;69422;69423;80810;80811	20059;30943;30944;30945;33260;33261;33262;33263;33264;60885;60886;72665;72666;72667;78494;78495;78496;78497;78498;78499;78500;78501;91684;91685;91686;91687	20059;30945;33263;60885;72666;78495;91685	359;360	167;183
YDR305C	YDR305C	5	5	5	>YDR305C pep:known chromosome:R64-1-1:IV:1072746:1073488:-1 gene:YDR305C transcript:YDR305C description:Dinucleoside triphosphate hydrolase\x3b has similarity to the tumor suppressor FHIT and belongs to the histidine triad (HIT) superfamily of nucleotide-	1	5	5	5	5	5	5	35.5	35.5	35.5	24.784	217	217	2		6							0	49.469	35.5	573990000	573990000	6				769	247;11627;18940;28449;28450	True;True;True;True;True	268;12160;19948;29909;29910	820;821;32893;52519;78797;78798	1094;1095;37661;59569;89248;89249	1094;37661;59569;89248;89249		
YDR308C	YDR308C	3	3	3	>YDR308C pep:known chromosome:R64-1-1:IV:1078027:1078449:-1 gene:YDR308C transcript:YDR308C description:Subunit of the RNA polymerase II mediator complex\x3b associates with core polymerase subunits to form the RNA polymerase II holoenzyme\x3b essential f	1	3	3	3	3	3	3	42.1	42.1	42.1	16.071	140	140	1	3								0	13.38	42.1	141500000	141500000	3				770	9494;14929;18389	True;True;True	9945;15583;19362	26924;41776;51123	30887;47579;58006	30887;47579;58006		
YDR309C	YDR309C	1	1	1	>YDR309C pep:known chromosome:R64-1-1:IV:1079048:1080199:-1 gene:YDR309C transcript:YDR309C description:Redundant rho-like GTPase Cdc42p effector\x3b homolog of Gic1p\x3b involved in initiation of budding and cellular polarization\x3b interacts with Cdc42	1	1	1	1	1	1	1	3.7	3.7	3.7	42.852	383	383	4			1		1				0.00091213	2.6306	3.7	52038000	52038000	2				771	466	True	498	1499;1500	1887;1888	1887		
YDR310C	YDR310C	10	10	10	>YDR310C pep:known chromosome:R64-1-1:IV:1081128:1084316:-1 gene:YDR310C transcript:YDR310C description:Transcriptional repressor required for mitotic repression of middle sporulation-specific genes\x3b also acts as general replication initiation factor\x	1	10	10	10	10	10	10	13.6	13.6	13.6	118.2	1062	1062	6.58					1	3	8		0	42.572	13.6	259380000	259380000	13				772	3688;16554;16778;16955;21989;22057;22194;22445;26245;27553	True;True;True;True;True;True;True;True;True;True	3884;17286;17513;17697;23125;23193;23336;23594;27591;28972	10631;46248;46249;46903;47378;60412;60538;60889;61519;72243;76068;76069	12128;52624;52625;53421;53952;68342;68474;68850;69560;81694;81695;86034;86035	12128;52625;53421;53952;68342;68474;68850;69560;81694;86035		
